sample_id,task,comparable_needle_count,near_hit_rate,exact_hit_rate,min_distance,max_log10_ratio,max_ratio,last_q_abs_pos,last_q_log10_ratio,last_q_mean_ratio
rank7|global_req1335|task=niah_single_1|doc=335,niah_single_1,1,0.7678571428571429,0.5267857142857143,0,3.5283913612365723,3375.913895935994,32477,-0.6865043640136719,0.0923658013343811
rank7|global_req1343|task=niah_single_1|doc=343,niah_single_1,1,0.49107142857142855,0.4642857142857143,0,4.2674560546875,18512.115646623904,32477,-0.7538496851921082,0.09458673745393753
rank7|global_req1351|task=niah_single_1|doc=351,niah_single_1,1,0.7053571428571429,0.5535714285714286,0,3.867659091949463,7373.252248772114,32477,-0.7491514086723328,0.0963066965341568
rank7|global_req1359|task=niah_single_1|doc=359,niah_single_1,1,0.7455357142857143,0.6026785714285714,0,3.142240047454834,1387.5225418658267,32480,-0.7404448390007019,0.09695449471473694
rank7|global_req135|task=niah_single_3|doc=135,niah_single_3,1,0.41517857142857145,0.14732142857142858,0,3.7831995487213135,6070.151755866486,32533,-0.5260968208312988,0.12859991192817688
rank7|global_req1367|task=niah_single_1|doc=367,niah_single_1,1,0.0,0.0,230,3.032543897628784,1077.814191519122,32477,-0.7403878569602966,0.09529440850019455
rank7|global_req1375|task=niah_single_1|doc=375,niah_single_1,1,0.5758928571428571,0.5,0,3.240457057952881,1739.6306788230763,32480,-0.8128873705863953,0.09487229585647583
rank7|global_req1383|task=niah_single_1|doc=383,niah_single_1,1,0.7142857142857143,0.6026785714285714,0,4.187083721160889,15384.51186795538,32474,-0.7694754600524902,0.09123736619949341
rank7|global_req1391|task=niah_single_1|doc=391,niah_single_1,1,0.7142857142857143,0.6651785714285714,0,3.118049144744873,1312.3483959050698,32480,-0.7036455273628235,0.09434055536985397
rank7|global_req1399|task=niah_single_1|doc=399,niah_single_1,1,0.7008928571428571,0.5491071428571429,0,3.206233263015747,1607.8045857541747,32477,-0.7858850955963135,0.10337309539318085
rank7|global_req1407|task=niah_single_1|doc=407,niah_single_1,1,0.4017857142857143,0.13839285714285715,0,3.1192398071289062,1315.9512687424044,32480,-0.8140830993652344,0.0982980951666832
rank7|global_req1415|task=niah_single_1|doc=415,niah_single_1,1,0.9196428571428571,0.7991071428571429,0,3.8858330249786377,7688.347863189629,32483,-0.8363844752311707,0.08405520766973495
